artifact,produced_by,master_bytes,develop_bytes,master_MB,develop_MB,ratio_master_over_develop,master_path,develop_path,note
onwind profile,build_renewable_profiles,622450598,10330358,622.451,10.33,60.255,code/pypsa-usa/.worktrees/master-benchmark/workflow/resources/equivalence/usa/profile_onwind.nc,code/pypsa-usa/workflow/resources/equivalence/profiles/usa/profile_onwind_s300.nc,
solar profile,build_renewable_profiles,746175398,10575778,746.175,10.576,70.555,code/pypsa-usa/.worktrees/master-benchmark/workflow/resources/equivalence/usa/profile_solar.nc,code/pypsa-usa/workflow/resources/equivalence/profiles/usa/profile_solar_s300.nc,
electrical demand (CSV),build_electrical_demand,2424183225,24843782,2424.183,24.844,97.577,code/pypsa-usa/.worktrees/master-benchmark/workflow/resources/equivalence/usa/demand/power_electricity.csv,code/pypsa-usa/workflow/resources/equivalence/demand/usa/power_electricity_s300.csv,"develop additionally writes power_zonal_components_s300.parquet (186,302,484 B) which master has no counterpart for; it is excluded from this bar"
network after add_demand,add_demand,2758570331,17262481,2758.57,17.262,159.801,code/pypsa-usa/.worktrees/master-benchmark/workflow/resources/equivalence/usa/elec_base_network_dem.nc,code/pypsa-usa/workflow/resources/equivalence/networks/usa/elec_s300_dem.nc,
network after add_electricity,add_electricity,6498564020,1128509306,6498.564,1128.509,5.759,code/pypsa-usa/.worktrees/master-benchmark/workflow/resources/equivalence/usa/elec_base_network_l_pp.pkl,code/pypsa-usa/workflow/resources/equivalence/networks/usa/elec_s300_l_pp.pkl,"smallest ratio of the set: this pickle carries one entry per attached generator, and the generator count does not fall with the bus count as steeply as the time series do"
