case,master_summed_s,develop_summed_s,speedup_master_over_develop,n_rules,note
"western (CA, 4249->20)",339.7,157.56,2.156,5,smoke leg; per-rule TSVs under benchmarks/equivalence/western
usa (82549->300),4063.24,356.1,11.41,5,acceptance case; per-rule TSVs under benchmarks/equivalence/usa
