order,stage,rules,buses_seen,kind
1,build_base_network,"build_base
network","82,549",plain
2,build_bus_regions,"build_bus
regions","82,549",plain
3,per-bus heavy rules,"build_renewable
profiles + build_electrical
demand","82,549",heavy
4,add_demand,add_demand,"82,549",heavy
5,add_electricity,add_electricity,"82,549",heavy
6,simplify_network,"simplify
network","82,549 -> 300",reduce
7,cluster_network,"cluster
network",300 -> 134,reduce
8,solve,"prepare
network + solve
network",134,solve
