interface,region_1,region_2,flow_12,flow_21
p10|p11,"CISO-SCE, IID",CISO-SDGE,1998.433,4701.644
p10|p13,"CISO-SCE, IID","CISO-VEA, NEVP",8751.271,8049.93
p10|p27,"CISO-SCE, IID",WALC,472.535,811
p10|p28,"CISO-SCE, IID",Arizona,4899.847,4424.758
p6+p8 | p9,PACW,CISO-PGAE,5100,5100
P9|P10,CISO-PGAE,CISO-SCE,9328.34,6133.425
P9|P12,CISO-PGAE,NEVP,297.86,436.768
