Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
23,BANC0 0,CISO-PGAE0 2,0.31894566052327367,2.9268410214460605,0.00012472238063622186,11401.025556205495,1.0,135.30032298505267,28.33570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BANC0 0,CISO-PGAE0 3,1.5844537255690274,12.133486858367633,9.797525333000077e-05,2245.143146498236,1.0,269.2475671404512,5.58,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BANC0 0,CISO-PGAE0 4,1.787289132061728,11.21593622641436,0.0001326820401087658,1774.3873254582836,0.9999999999999998,296.20376887016056,4.41,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,BANC0 0,TID0 0,1.5039314978467988,12.519392468388432,3.1282322484562e-05,2245.143146498236,0.9999999999999999,153.87127088901818,5.58,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BPAT0 0,BPAT0 3,3.7993026965764964,31.34179938024697,5.091027890594169e-05,1339.8434906521734,0.9999999999999999,332.7310278016134,3.3299999999999996,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,BPAT0 0,BPAT0 5,2.586324063467765,17.705500488218004,9.741975209951737e-05,1339.8434906521732,1.0,325.6425498954008,3.33,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,BPAT0 0,CHPD0 0,0.7917456309164305,9.100240817699689,6.592252097847397e-05,6551.494454598045,1.0,202.02202775533397,16.282854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,BPAT0 0,DOPD0 0,1.6834461945494212,25.133225722925765,4.5549722731268706e-05,5501.346853816613,0.9999999999999999,269.56407507218097,13.672854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,BPAT0 0,PSEI0 0,0.43415754537418566,3.6242438545059135,0.00014876627793122593,6300.885604688598,1.0,167.2956799008436,15.659999999999998,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,BPAT0 0,US0 0,6.762892225856418,60.11459756316816,0.0,434.5438348061102,1.0,981.7486076273331,1.08,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
