Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
94,CISO-SCE0 6,LADWP0 0,0.7954615532634086,21.235615161258536,1.658987401268977e-05,8902.398506070358,1.0,139.562646270877,22.12570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,CISO-SDGE0 0,IID0 0,1.0630111016875905,12.653202372457457,3.793368075452367e-05,5646.194798751982,1.0,167.14163221046493,14.032854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,CISO-SDGE0 0,US0 0,25.214669346468,145.7150983264228,0.00016850563818437048,1194.9955457168032,0.9999999999999999,1228.7512088144654,2.9699999999999998,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,CISO-VEA0 0,NEVP0 0,1.699815545461501,13.845388871147879,3.0102820231232385e-05,1392.1496929899456,1.0,166.50177663537877,3.46,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,DOPD0 0,GCPD0 0,1.2750982209011659,8.881732847430449,3.103545115429289e-05,1194.995545716803,1.0,135.0871871332142,2.9699999999999998,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,DOPD0 0,PSEI0 0,1.4128213188412815,41.36091431413197,2.810942009770746e-05,8902.398506070358,1.0,251.6309951130139,22.12570888468809,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,EPE0 0,PNM0 0,1.4004174734195816,8.705033310933905,0.0003841047286672111,4325.282515030161,1.0,432.170288867904,9.475897920604915,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,IPCO0 0,MT_west0 0,5.532839701000235,32.08524881051095,0.00018343624746094966,869.0876696122203,1.0000000000000002,621.2932940936064,2.1599999999999997,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,IPCO0 0,NEVP0 0,7.730564127262467,55.34855742661202,0.00018325338349758875,1484.6914355875435,0.9999999999999998,823.0638978797184,3.6899999999999995,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,IPCO0 0,PACE0 0,4.4707606098241275,38.32796340171031,0.0001428725273143654,2100.295201562866,1.0,564.0016204009228,5.22,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,MISO-00010 0,MT_west0 0,4.348045387821418,41.037923371145816,7.569733526933992e-05,1955.447256627496,1.0,429.25998196295734,4.859999999999999,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,MISO-00010 0,SPP-WAUE_West0 0,18.9440664246825,103.39018559183084,7.676926736176796e-06,144.84794493537007,1.0,222.25493465186207,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,MISO-00010 0,WACM0 0,10.767758114945389,108.26977851989872,9.789374916353269e-05,1955.447256627496,1.0,879.2546468876781,4.859999999999999,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,MT_west0 0,PACE0 0,9.975232247513453,53.83525138573635,0.00019773367971310572,724.2397246768503,1.0,812.0585298146898,1.7999999999999998,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,MT_west0 0,SPP-WAUE_West0 0,31.588269755460786,183.2698046480227,1.1137030753276086e-05,144.84794493537007,1.0,376.0655394069635,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,MT_west0 0,WACM0 0,54.77238119713181,334.37970736994345,4.790653179923231e-05,144.84794493537007,1.0,1012.8714378976111,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,NEVP0 0,PACE0 0,2.9407285652183686,23.204880065889217,0.00029790245750804887,4186.869247241285,1.0,696.9634025568705,10.405897920604914,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,NEVP0 0,WALC0 0,19.321186957769505,115.8088683681867,3.926206580331552e-05,289.69588987074013,1.0,504.263793980594,0.72,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,PACE0 0,WACM0 0,5.117166559702979,27.29468239738587,0.00018278504195267168,1219.1368698726978,1.0,577.4868026424979,3.03,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,PACW0 0,US0 0,3.7424979564870062,33.266648502106726,0.0,1955.447256627496,1.0,287.9423375227956,4.859999999999999,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,PNM0 0,PSCO0 0,6.942928956457934,48.18826003855869,0.00011203677395879181,2203.2571124319115,1.0,559.8846576349271,5.475897920604915,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,PNM0 0,TEPC0 0,7.826100509804054,96.47108096710872,5.6673597706855084e-05,2002.0794111327864,1.0,602.8968902900939,4.975897920604915,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,PNM0 0,WACM0 0,3.387827858675156,22.412968881876335,0.00039435348929375266,3175.5348137310366,0.9999999999999999,741.1847242605979,7.975897920604915,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,PSCO0 0,PSCO0 1,0.5029262294216487,3.029339909965458,0.00019446791094393937,4439.941365679723,1.0000000000000002,187.98691479096317,9.725897920604915,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,PSCO0 0,WACM0 0,0.8533206194304712,5.813072670876429,0.0002537909980442005,5505.461926162947,1.0000000000000002,305.1553372533591,13.45179584120983,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,PSCO0 1,WACM0 0,0.15849106900292864,1.2223943519173097,0.00028394376768236233,18388.931668359583,1.0,142.56213220691754,43.07538752362949,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
