Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
1,AVA0 0,BPAT0 1,4.921142412748078,33.328201113177315,3.415403593308687e-05,0.0,1.0,286.5910327797216,0.36,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0006300227053530683,9.302726678162719e-05,0.0,1.8067485008602953,0.0006300227053530683,9.302726678162719e-05,0.0,230.0
2,AVA0 0,BPAT0 2,0.8473879217945457,5.990091981005577,0.00013861001519479096,0.0,11.0,228.5305474021099,7.74,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00011323425294906573,1.6018675270218257e-05,0.0,7.332469803804441,0.00011323425294906573,1.6018675270218257e-05,0.0,230.0
3,AVA0 0,BPAT0 4,1.3320756543619636,17.45370375502823,5.537593679172421e-05,0.0,4.0,246.09018246216004,15.922854442344045,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0003299376891309684,2.518101426015054e-05,0.0,2.9293870562822106,0.0003299376891309684,2.518101426015054e-05,0.0,230.0
4,AVA0 0,DOPD0 0,0.9793128598537567,10.528460028562735,6.956633358176179e-05,0.0,6.0,230.247931371058,16.642854442344046,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00019902570942462638,1.8512530432018084e-05,0.0,3.6800590464751983,0.00019902570942462638,1.8512530432018084e-05,0.0,230.0
5,AVA0 0,IPCO0 0,6.940746469171843,211.46026091437193,2.582481873970726e-05,0.0,1.0,614.9403128051047,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0039973584293832125,0.00013120503722442047,0.0,1.366132911330514,0.0039973584293832125,0.00013120503722442047,0.0,230.0
6,Arizona0 0,Arizona0 1,3.012608889281012,39.296467010771245,6.036270870021401e-05,0.0,3.0,386.06518113812706,9.70179584120983,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0007428443669332939,5.694912834179607e-05,0.0,3.193187290241321,0.0007428443669332939,5.694912834179607e-05,0.0,230.0
7,Arizona0 0,Arizona0 2,1.1525202402860717,11.67379086547971,0.00015351396509909873,0.0,9.0,328.4207963810635,22.014650283553877,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00022067657590698885,2.178677202809209e-05,0.0,8.120888753742323,0.00022067657590698885,2.178677202809209e-05,0.0,230.0
8,Arizona0 0,Arizona0 3,1.446233363983955,11.439354020591539,9.825083994073165e-05,0.0,8.0,267.85029083408494,10.95179584120983,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00021624487751590812,2.73390049902449e-05,0.0,5.197469432864704,0.00021624487751590812,2.73390049902449e-05,0.0,230.0
9,Arizona0 0,CISO-SCE0 1,6.8727535678563365,177.88112654164019,2.3628559627112698e-05,0.0,1.0,507.56250971614406,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0033625921841519885,0.00012991972718064907,0.0,1.2499508042742618,0.0033625921841519885,0.00012991972718064907,0.0,230.0
10,Arizona0 0,TEPC0 0,0.959739878448488,7.171691542482821,0.0001335091533555571,0.0,8.0,242.77980413421218,17.288752362948962,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0001355707285913577,1.8142530783525293e-05,0.0,7.0626342125089705,0.0001355707285913577,1.8142530783525293e-05,0.0,230.0
