"GENERATORLIST"
"Note!!! Please add ' at the beginning of generator ID as a special indicatorof text type."
"GeneratorKey","Name","Bus ID","Bus Name","Bus KV","Unit ID","Generator TypeID","SubType","Long ID","Long Name","ServiceStatus","Commission Date","Retirement Date","DevStatus","Area Name","Region Name","MinCap(MW)","MaxCap(MW)","InitialDispatch(MW)","Save To Binary","State","County","City","Zipcode","FuelType","Technology","BTM","InternalID","EconomicPMin","EconomicPMax"
"40","Hatch_Solar_EC","11404","HAT_DIST_PV",".69","'PV","4","SolarPV-Tracking","NM-57591-1","Hatch Solar Energy Center I, LLC-1",#TRUE#,#2011-07-08#,#2036-07-08#,"Existing","EPE","SW_EPE","0","5","3","YES","NM","NA","NA","NA","Solar","Tracking",#FALSE#,"NA","0","5"
"45","Copper_1","11051","COPPER_G","13.8","'1","1","CT-NatGas-Industrial","TX-9-1","Copper-1",#TRUE#,#1980-07-01#,#2030-12-31#,"Existing","EPE","SW_EPE","10","68","45","YES","TX","NA","NA","NA","NG","Industrial",#FALSE#,"NA","10","68"
"54","Montana_4_G4","11233","MPS4","13.8","'1","1","CT-NatGas-Aero","TX-58562-GT-4","Montana 4-G4",#TRUE#,#2016-09-01#,#2057-12-31#,"Existing","EPE","SW_EPE","50","97","68","YES","TX","NA","NA","NA","NG","Areo",#FALSE#,"NA","50","97"
"55","Montana_3_G3","11232","MPS3","13.8","'1","1","CT-NatGas-Aero","TX-58562-GT-3","Montana 3-G3",#TRUE#,#2016-05-01#,#2056-12-31#,"Existing","EPE","SW_EPE","50","97","68","YES","TX","NA","NA","NA","NG","Areo",#FALSE#,"NA","50","97"
"56","Montana_2_G2","11228","MPS2","13.8","'1","1","CT-NatGas-Aero","TX-58562-GT-2","Montana 2-G2",#TRUE#,#2015-05-01#,#2055-12-31#,"Existing","EPE","SW_EPE","50","97","68","YES","TX","NA","NA","NA","NG","Areo",#FALSE#,"NA","50","97"
"57","Montana_1_G1","11227","MPS1","13.8","'1","1","CT-NatGas-Aero","TX-58562-GT-1","Montana 1-G1",#TRUE#,#2015-05-01#,#2055-12-31#,"Existing","EPE","SW_EPE","50","93.2","68","YES","TX","NA","NA","NA","NG","Areo",#FALSE#,"NA","50","93.2"
"175","Roosevelt","15951","RSVLTGEN","13.8","'1","2","Hydro","AZ-149-ROOS","Roosevelt ROOS",#TRUE#,#1973-03-01#,#2050-12-31#,"Existing","SRP","SW_SRP","10","36","36","YES","AZ","Maricopa","Phoenix","NA","Water","N/A",#FALSE#,"NA","0","36"
"412","PdteJuarezGT1","20012","TTI-U1","13.8","'1","1","CT-NatGas-Industrial","MX-N/A-N/A","Pdte.Juarez GT-1",#TRUE#,#1982-09-30#,#2050-12-31#,"Existing","CFE","CA_CFE","15.4","38.22","20.2","YES","MX","NA","NA","NA","NG","Industrial",#FALSE#,"NA","15.4","28"
"413","PdteJuarezGT2","20013","TTI-U2","13.8","'2","1","CT-NatGas-Industrial","MX-N/A-N/A","Pdte.Juarez GT-2",#TRUE#,#1982-11-09#,#2050-12-31#,"Existing","CFE","CA_CFE","15.4","38.22","20.2","YES","MX","NA","NA","NA","NG","Industrial",#FALSE#,"NA","15.4","28"
"414","Mexicali1","20156","MXI-U1","13.8","'1","1","ICE-OilDistillate","MX-N/A-N/A","Mexicali-1",#TRUE#,#1974-10-23#,#2050-12-31#,"Existing","CFE","CA_CFE","14.053","44.1","0","YES","MX","NA","NA","NA","Oil","N/A",#FALSE#,"NA","14.053","25.551"
"415","Mexicali2","20231","MXI-U2","13.8","'2","1","ICE-OilDistillate","MX-N/A-N/A","Mexicali-2",#TRUE#,#1977-01-09#,#2050-12-31#,"Existing","CFE","CA_CFE","9.724","22.1","0","YES","MX","NA","NA","NA","Oil","N/A",#FALSE#,"NA","9.724","17.68"
"416","Mexicali3","20232","MXI-U3","13.8","'3","1","ICE-OilDistillate","MX-N/A-N/A","Mexicali-3",#TRUE#,#1977-12-08#,#2050-12-31#,"Existing","CFE","CA_CFE","9.724","22.1","0","YES","MX","NA","NA","NA","Oil","N/A",#FALSE#,"NA","9.724","17.68"
"432","Cipres1","20099","CIP-U1","13.8","'1","1","CT-OilDistillate","MX-N/A-N/A","Cipres-1",#TRUE#,#1982-12-02#,#2050-12-31#,"Existing","CFE","CA_CFE","15.4","31.83","0","YES","MX","NA","NA","NA","Oil","N/A",#FALSE#,"NA","15.4","28"
"437","CerroPrieto4-4","20146","CPC-U4","13.8","'4","1","Geo-BinaryCycle","MX-N/A-N/A","GeoGen Co1BT15",#TRUE#,#2000-07-26#,#2050-12-31#,"Existing","CFE","CA_CFE","0","27.3","236.01","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","12.5","25"
"438","CerroPrieto4-3","20145","CPC-U3","13.8","'3","1","Geo-BinaryCycle","MX-N/A-N/A","BESS II1BA100",#TRUE#,#2000-07-26#,#2050-12-31#,"Existing","CFE","CA_CFE","0","26.25","25.34","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","12.5","25"
"439","CerroPrieto4-2","20144","CPC-U2","13.8","'2","1","Geo-BinaryCycle","MX-N/A-N/A","BESS II1BA100",#TRUE#,#2000-07-26#,#2050-12-31#,"Existing","CFE","CA_CFE","0","26.25","25.34","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","12.5","25"
"440","CerroPrieto4-1","20143","CPC-U1","13.8","'1","1","Geo-BinaryCycle","MX-N/A-N/A","Salton Sea 41BT49",#TRUE#,#2000-07-26#,#2050-12-31#,"Existing","CFE","CA_CFE","0","27.3","25.34","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","12.5","25"
