generatorkey,ads_name,long id,bus id,bus name,devstatus,balancing_area,region name,plant_id_ads,plant_id_eia,generator_id_ads,lat,lon
19158,rileysolarpvpvnt10,63925_RILEY,405180,BEST_LANE,Existing,BPAT,NW_BPAT,6,63925,9-Mar,43.5559,-119.6852
16434,cedarspringswindiiillcnextera,WY-63916-82635,67676,CEDARSPG_WG1,Future-Planned,PAWY,BS_PACE,63916,63916,82635,43.076692,-105.5844
16436,cedarspringstransmissionllcbta,WY-63915-82634,67683,CEDARSPG_WG3,Future-Planned,PAWY,BS_PACE,63915,63915,82634,42.969007,-105.3656
16435,cedarspringswindnextera,WY-63914-82633,67679,CEDARSPG_WG2,Future-Planned,PAWY,BS_PACE,63914,63914,82633,43.019714,-105.4721
16116,dodgeflatsolar1,NV-63913-DODGE,641127,DGEFLT_PV,Future-Planned,SPPC,SW_NVE,63913,63913,DODGE,40.713024,-113.373055
18512,sulussolar17ss17pvnt31,63908_,43163,EAGLECRK,Existing,PGE,NW_PGE,6,63908,9-Mar,45.34891,-122.4335
19279,turquoisesolar2,NV-63906-142,640173,TURQ_GEN50,Existing,SPPC,SW_NVE,63906,63906,142,39.57395,-119.5242
16765,encinosolar,NM-63860-ESEC,10724,ENCINO_SOLG,Under Construction,PNM,SW_PNM,63860,63860,ESEC,35.354,-106.858
17826,rosamondwestsolarclean1pvnt40,63859_,29665,TEDDY,Existing,CISC,CA_CISO,6,63859,8-Mar,34.847,-118.395
17827,rosamondwestsolareastbay31pvnt56,63859_,29665,TEDDY,Existing,CISC,CA_CISO,6,63859,8-Mar,34.847,-118.395
17828,rosamondwestsolareastbay41pvnt56,63859_,29665,TEDDY,Existing,CISC,CA_CISO,6,63859,8-Mar,34.847,-118.395
17829,rosamondwestsolarpaloalto1pvnt26,63859_,29665,TEDDY,Existing,CISC,CA_CISO,6,63859,8-Mar,34.847,-118.395
17830,rosamondwestsolarrosiex1pvnt14,63859_,29665,TEDDY,Existing,CISC,CA_CISO,6,63859,8-Mar,34.847,-118.395
16936,gatewayenergystorage,CA-63834-GTWAY,23710,Q1170_BESS,Existing,CISD,CA_CISO,63834,63834,GTWAY,32.570556,-116.9106
19161,westhinespvpvnt10,63796_1,40514,STARVRIDGE#,Existing,BPAT,NW_BPAT,6,63796,7-Mar,43.50259,-119.1471
19150,alkalisolarpvpvnt10,63795_2,40473,SYCAN_11,Existing,BPAT,NW_BPAT,6,63795,7-Mar,43.31942,-121.0035
19159,rockgardenpvpvnt10,63779_4,40473,SYCAN_11,Existing,BPAT,NW_BPAT,6,63779,7-Mar,43.39691,-120.9304
19160,suntexsolarpvpvnt10,63778_3,40518,BEST_LANE#,Existing,BPAT,NW_BPAT,6,63778,7-Mar,43.56149,-119.6862
19284,thunderwolfpv,63776_TW300,70763,CEP5_S1,Pre-Const Reg Approval-Review,PSCO,RM_PSCO,6,63776,7-Mar,38.1899,-104.398
18363,bighorn,63770_COBH1,70878,BIGHORN_S1,Existing,PSCO,RM_PSCO,6,63770,7-Mar,38.207518,-104.5967
16799,taosmesasolar,NM-63728-TMEF1,12080,TAOS,Under Construction,PNM,SW_PNM,63728,63728,TMEF1,36.44,-105.62
18325,rawhideprairie1ba1,63722_BA1,78024,RPS_PV_GEN,Existing,PSCO,RM_PSCO,6,63722,7-Mar,40.857978,-105.0156
18273,butlersolarllc13501pvnt4,63694_,43461,RIVRGT A,Existing,PGE,NW_PGE,6,63694,6-Mar,45.101804,-123.4101
18500,rivervalleysolar1pvnt19,63665_,43327,MONITOR,Existing,PGE,NW_PGE,6,63665,6-Mar,45.128,-122.828
18522,williamsacressolarw0055pvnt25,63664_,43331,MT ANGEL,Existing,PGE,NW_PGE,6,63664,6-Mar,45.137,-122.799
18290,mthopesolarw0053pvnt25,63663_,43323,MOLALLAN,Existing,PGE,NW_PGE,6,63663,6-Mar,45.12795,-122.6138
17462,sandhillc,_,86130,APFWG Bus,Under Construction,CIPV,CA_CISO,_,63653,,37.769695,-121.5961
18279,dunnroadsolarw9736pvnt18,63642_,43149,DUNSCRN2,Existing,PGE,NW_PGE,6,63642,6-Mar,45.431,-122.286
19153,fortrockipvpvnt10,63636_FR1,47397,MONTG W1,Existing,BPAT,NW_BPAT,6,63636,6-Mar,43.320081,-121.0035
16766,brittonsolarpv,NM-63579-BSEC,10734,BRITTON_SOLG,Under Construction,PNM,SW_PNM,63579,63579,BSEC,35.016,-106.098
19145,lundhillsolarpvt193,63509_LHS1,86012,APFWG Bus,Under Construction,BPAT,NW_BPAT,6,63509,5-Mar,45.888,-120.355
19142,bakeovensolarpvt60,63507_BOS1,40155,BUCKLEY,Future-Planned,BPAT,NW_BPAT,6,63507,5-Mar,45.131793,-120.8807
19143,bakeoveniisolarpvt140,63507_BOS2,86010,APFWG Bus,Future-Planned,BPAT,NW_BPAT,6,63507,5-Mar,45.131793,-120.8807
17342,osograndewind,NM-63502-OGW24-45,160934,OSO_G11,Existing,TEPC,SW_TEPC,63502,63502,OGW24-45,32.9323,-103.6664
18372,saintsolar,_,86227,APFWG Bus,Existing,SRP,SW_SRP,_,63476,,32.866276,-111.5024
18269,bighornsolarpgr16pvnt22,63467_,43316,MIDLGROV,Existing,PGE,NW_PGE,6,63467,4-Mar,44.965702,-122.9542
18278,driftcreeksolarpgr18pvnt22,63466_,43529,SILVRTON,Existing,PGE,NW_PGE,6,63466,4-Mar,44.970572,-122.8035
18289,minkesolarpgr20pvnt22,63465_,43339,MULINO,Existing,PGE,NW_PGE,6,63465,4-Mar,45.172332,-122.6227
18272,brushcreeksolarpgr19pvnt22,63464_,43529,SILVRTON,Existing,PGE,NW_PGE,6,63464,4-Mar,44.984217,-122.8131
18498,pikasolarpgr17pvnt22,63462_,43331,MT ANGEL,Existing,PGE,NW_PGE,6,63462,4-Mar,45.089244,-122.7705
18510,stlouissolarw9319pvnt22,63456_,43539,ST LOUIS,Existing,PGE,NW_PGE,6,63456,4-Mar,45.11994,-122.9361
18519,thomascreeksolarw9318pvnt22,63443_,42385,CENTER,Existing,PSEI,NW_PSEI,6,63443,4-Mar,45.131407,-122.6195
18520,ticklecreeksolarw9317pvnt19,63442_,43499,SANDY,Existing,PGE,NW_PGE,6,63442,4-Mar,45.375,-122.265
19146,montaguesolarpvt162,63441_S1,86013,APFWG Bus,Future-Planned,BPAT,NW_BPAT,6,63441,4-Mar,45.54,-120.18
17630,corriedale,63436_COW01,74203,CORWNDLO,Existing,WACM,RM_WACM,6,63436,4-Mar,41.1133,-104.984
18244,ranchosecosolarii1pvt160,63387_RSS2,37150,SOLARSH,Existing,BANC,CA_BANC,6,63387,3-Mar,38.346814,-121.1198
19281,apexsolar690,NV-63352-AR??,181081,GEMTWO G1,Future-Planned,NEVP,SW_NVE,63352,63352,AR??,36.4678,-114.806
16832,starvationridge,OR-63344-STAR,405141,STARVRIDGE,Existing,BPAT,NW_BPAT,63344,63344,STAR,43.50222,-119.1485
18281,firwoodsolarllcorfwdpvnt10,63331_,43499,SANDY,Existing,PGE,NW_PGE,6,63331,3-Mar,45.35,-122.25
18280,duussolarllcorduspvnt10,63330_,43161,EAGLCRK2,Existing,PGE,NW_PGE,6,63330,3-Mar,45.35,-122.35
17337,yorktown1bess,CA-63325-YORK1,24388,MESA2T,Under Construction,CISC,CA_CISO,63325,63325,YORK1,34.00467,-118.0684
18559,oneillcreeksolarocpv1pvnt22,63235_,43511,SCOGGIN,Existing,PGE,NW_PGE,6,63235,2-Mar,45.472,-123.129
18285,kalepatchsolarkppv1pvnt22,63208_,43631,WACONDA,Existing,PGE,NW_PGE,6,63208,2-Mar,45.083,-122.904
18274,casecreeksolarccpv1pvnt22,63207_,43539,ST LOUIS,Existing,PGE,NW_PGE,6,63207,2-Mar,45.172,-122.912
18499,rafaelsolarrspv1pvnt22,63206_,43169,ELMA 2,Existing,PGE,NW_PGE,6,63206,2-Mar,44.859838,-123.0079
16833,skookumchuckwind,63205_1,86015,APFWG Bus,Existing,PSEI,NW_PSEI,6,63205,2-Mar,46.85074,-122.6644
16762,rioranchosolarenergycenter,NM-63184-RIRA,10466,SCENICNM,Existing,PNM,SW_PNM,63184,63184,RIRA,35.10476,-106.4824
16128,southernbighornbattery1,NV-63113-BESS,180987,SBHPVS B1,Future-Planned,NEVP,SW_NVE,63113,63113,BESS,36.304793,-114.4728
16129,southernbighornbattery2,NV-63113-BESS,180994,SBHPVS B2,Future-Planned,NEVP,SW_NVE,63113,63113,BESS,36.304793,-114.4728
16156,southernbighornsolar1,NV-63113-SBS,180985,SBHPVS G1,Future-Planned,NEVP,SW_NVE,63113,63113,SBS,36.304793,-114.4728
16157,southernbighornsolar2,NV-63113-SBS,180992,SBHPVS G2,Future-Planned,NEVP,SW_NVE,63113,63113,SBS,36.304793,-114.4728
18382,riverviewsolar,_,79014,CRAIG,Existing,WACM,RM_WACM,_,63092,,40.66583,-103.1324
16782,sanmiguel1solarec,NM-63081-SMI,10017,ARRIBA,Existing,PNM,SW_PNM,63081,63081,SMI,35.63457,-105.1784
16783,sanmiguel2solarec,NM-63081-SMII,10017,ARRIBA,Existing,PNM,SW_PNM,63081,63081,SMII,35.63457,-105.1784
17547,eaglecreek,63078_,34776,TAFT,Existing,CIPV,CA_CISO,6,63078,Mar-00,35.214023,-119.3952
17181,millicansolarenergyllcpvbus01,OR-63050-GEN1,44585,MILCN SLR L,Future-Conceptual,PACW,NW_PACW,63050,63050,GEN1,44.154107,-120.5341
