GeneratorKey,Name,plant_name_eia,Long ID,plant_id_eia,Long Name,generator_id,latitude,longitude,merged_type
823,canyonpwr1,canyonpowerplant,CA-57027-CPP1,57027,canyonpowerplantcpp1,CPP1,33.858056,-117.8617,Long_ID
824,canyonpwr2,canyonpowerplant,CA-57027-CPP2,57027,canyonpowerplantcpp2,CPP1,33.858056,-117.8617,Long_ID
825,canyonpwr3,canyonpowerplant,CA-57027-CPP3,57027,canyonpowerplantcpp3,CPP1,33.858056,-117.8617,Long_ID
835,ellwood1,ellwood,CA-8076-01,8076,ellwood1,1,34.431419,-119.9001,Long_ID
857,lundy1,lundy,CA-342-1,342,lundy1lundyhydroplantaggregate1,1,38.042729,-119.172,Long_ID
925,sycamorecgndg,sycamorecogen,CA-50134-GTDG,50134,sycamorecogenerationgtdg,GTAG,35.452577,-118.9853,Long_ID
926,sycamorecgncg,sycamorecogen,CA-50134-GTCG,50134,sycamorecogenerationgtcg,GTAG,35.452577,-118.9853,Long_ID
927,sycamorecgnbg,sycamorecogen,CA-50134-GTBG,50134,sycamorecogenerationgtbg,GTAG,35.452577,-118.9853,Long_ID
928,sycamorecgnab,sycamorecogen,CA-50134-GTAG,50134,sycamorecogenerationgtag,GTAG,35.452577,-118.9853,Long_ID
939,redondobeach8,redondobeach,CA-356-8,356,aesredondobeachllc8,GEN5,33.8504,-118.395,Long_ID
941,redondobeach6,redondobeach,CA-356-6,356,aesredondobeachllc6,GEN5,33.8504,-118.395,Long_ID
942,redondobeach5,redondobeach,CA-356-5,356,aesredondobeachllc5,GEN5,33.8504,-118.395,Long_ID
988,ivanpah3st1,ivanpah3,CA-57075-ST1,57075,ivanpah3st1rpsca0096cpucidpg6005zonemountainpass,ST1,35.580833,-115.4825,Long_ID
993,longbeachgt2,longbeachgenerationllc,CA-341-CT2,341,longbeachgenerationllcct2,CT1,33.7641,-118.2248,Long_ID
994,longbeachgt3,longbeachgenerationllc,CA-341-CT3,341,longbeachgenerationllcct3,CT1,33.7641,-118.2248,Long_ID
1005,coso4navy2,cosopowerdevelopers,CA-10874-GEN4,10874,cosopowerdevelopernavyiiaggregate1gt90,GEN4,36.0192,-117.7917,Long_ID
1006,coso5navy2,cosopowerdevelopers,CA-10874-GEN5,10874,cosopowerdevelopernavyiiaggregate1gt90,GEN4,36.0192,-117.7917,Long_ID
1007,coso6navy2,cosopowerdevelopers,CA-10874-GEN6,10874,cosopowerdevelopernavyiiaggregate1gt90,GEN4,36.0192,-117.7917,Long_ID
1009,kernrivercgn1,kernrivercogen,CA-10496-GTAG,10496,omarhillkernrivercogenerationgtag,GTAG,35.4515,-118.9849,Long_ID
1010,kernrivercgn2,kernrivercogen,CA-10496-GTBG,10496,omarhillkernrivercogenerationgtbg,GTAG,35.4515,-118.9849,Long_ID
1011,kernrivercgn3,kernrivercogen,CA-10496-GTCG,10496,omarhillkernrivercogenerationgtcg,GTAG,35.4515,-118.9849,Long_ID
1012,kernrivercgn4,kernrivercogen,CA-10496-GTDG,10496,omarhillkernrivercogenerationgtdg,GTAG,35.4515,-118.9849,Long_ID
1013,ormondbeach1,ormondbeach,CA-350-1,350,ormondbeach1,1,34.1292,-119.1689,Long_ID
1014,ormondbeach2,ormondbeach,CA-350-2,350,ormondbeach2,1,34.1292,-119.1689,Long_ID
1020,canyonpwr4,canyonpowerplant,CA-57027-CPP4,57027,canyonpowerplantcpp4,CPP1,33.858056,-117.8617,Long_ID
1022,altaw1,altawindi,CA-57282-AW01,57282,cpcwestaltawindenergycenteriaw01,AW01,35.033725,-118.3534,Long_ID
1023,altaw2,altawindii,CA-57291-AW02,57291,cpcwestaltawindenergycenteriiaw02,AW02,35.023889,-118.2953,Long_ID
1024,altaw3,altawindiii,CA-57292-AW03,57292,cpcwestaltawindenergycenteriiiaw03,AW03,35.023889,-118.2953,Long_ID
1025,altaw4,altawindiv,CA-57293-AW04,57293,cpceastaltawindenergycenterivaw04,AW04,35.008611,-118.2422,Long_ID
1026,altaw5,altawindv,CA-57294-AW05,57294,cpceastaltawindenergycentervaw05,AW05,35.008611,-118.2422,Long_ID
1037,altaw6,altawindvi,CA-57833-AW06,57833,cpcwestaltawindviaw06,AW06,35.030855,-118.2932,Long_ID
1038,altaw8,altawindviii,CA-57835-AW08,57835,cpceastaltawindviiiaw08,AW08,35.026683,-118.2348,Long_ID
1048,ivanpah2st1,ivanpah2,CA-57073-ST1,57073,ivanpah2st1rpsca0095cpucidpg6004zonemountainpass,ST1,35.556111,-115.4686,Long_ID
1049,ivanpah1st1,ivanpah1,CA-57074-ST1,57074,ivanpah1st1rpsca0094cpucidsc6003zonemountainpass,ST1,35.533056,-115.4525,Long_ID
1115,lapaloma1,lapalomagenerating,CA-55151-GEN1,55151,lapalomageneratingllcgen1,GEN1,35.2956,-119.5919,Long_ID
1116,lapaloma2,lapalomagenerating,CA-55151-GEN2,55151,lapalomageneratingllcgen2,GEN1,35.2956,-119.5919,Long_ID
1117,lapaloma3,lapalomagenerating,CA-55151-GEN3,55151,lapalomageneratingllcgen3,GEN1,35.2956,-119.5919,Long_ID
1118,lapaloma4,lapalomagenerating,CA-55151-GEN4,55151,lapalomageneratingllcgen4,GEN1,35.2956,-119.5919,Long_ID
1132,haas2,haas,CA-240-H2,240,haash2,H1,36.927424,-119.0203,Long_ID
1133,haas1,haas,CA-240-H1,240,haash1,H1,36.927424,-119.0203,Long_ID
1137,helmsps3,helmspumpedstorage,CA-6100-3,6100,helmspumpedstorage3,1,37.029304,-118.9683,Long_ID
1139,helmsps2,helmspumpedstorage,CA-6100-2,6100,helmspumpedstorage2,1,37.029304,-118.9683,Long_ID
1140,helmsps1,helmspumpedstorage,CA-6100-1,6100,helmspumpedstorage1,1,37.029304,-118.9683,Long_ID
1142,henrietta2,henriettapeaker,CA-55807-HPP2,55807,henriettapeakerhpp2,HPP1,36.2397,-119.9044,Long_ID
1143,henrietta1,henriettapeaker,CA-55807-HPP1,55807,henriettapeakerhpp1,HPP1,36.2397,-119.9044,Long_ID
1148,hanfordenergy1,hanfordenergyparkpeaker,CA-55698-HEP1,55698,hanfordenergyparkpeakerhep1,HEP1,36.270072,-119.6481,Long_ID
1149,kerckhoffh3,kerckhoff,CA-250-H3,250,kerckhoffh3,H1,37.092486,-119.5528,Long_ID
1151,kerckhoffh1,kerckhoff,CA-250-H1,250,kerckhoffh1,H1,37.092486,-119.5528,Long_ID
1153,calrenew1cr1,calrenew1,CA-56768-CR1,56768,calrenew1cr1,CR1,36.7575,-120.3658,Long_ID
1156,elnidofacility,mercedpowerllc,CA-56707-AMPC,56707,elnidofacilityampc,AMPC,37.1867,-120.4903,Long_ID
