"x1","unit_name","inr","unit_code","county","fuel","zone","in_service","installed_capacity_rating_mw","summer_capacity_mw","geoid","longitude","latitude","heat_input_mmbtu","operation_hour","heat_rate","p_nom","balancing_authority_code","ads_balancing_area","ads_mustrun","fuel_type","carrier","ramp_limit_up","ramp_limit_down","dateout","build_year","operating_year","generator_id","generator_name","summer_derate","winter_derate","minimum_load_mw","nameplate_energy_capacity_mwh","energy_capacity_mwh"
16,"MARTIN LAKE U1",NA,"MLSES_UNIT1","RUSK","COAL","NORTH",1977,893,800,"48401",-94.7616847379522,32.1079429145812,44259461.918,7573,6.54465434060327,893,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1977,1977,16,"16_coal",0.895856662933931,1,0,893,NA
17,"MARTIN LAKE U2",NA,"MLSES_UNIT2","RUSK","COAL","NORTH",1978,893,805,"48401",-94.7616847379522,32.1079429145812,47412725.329,8405,6.31692532627022,893,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1978,1978,17,"17_coal",0.901455767077268,1,0,893,NA
18,"MARTIN LAKE U3",NA,"MLSES_UNIT3","RUSK","COAL","NORTH",1979,893,805,"48401",-94.7616847379522,32.1079429145812,47335540.408,8395,6.31415414950642,893,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1979,1979,18,"18_coal",0.901455767077268,1,0,893,NA
19,"OAK GROVE SES U1",NA,"OGSES_UNIT1A","ROBERTSON","COAL","NORTH",2010,916.8,855,"48395",-96.5133051218858,31.0265551733286,63102437.518,7503,9.17353208774663,916.8,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,2010,2010,19,"19_coal",0.932591623036649,1,0,916.8,NA
20,"OAK GROVE SES U2",NA,"OGSES_UNIT2","ROBERTSON","COAL","NORTH",2011,916.8,855,"48395",-96.5133051218858,31.0265551733286,64416444.153,8226,8.54148608859598,916.8,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,2011,2011,20,"20_coal",0.932591623036649,1,0,916.8,NA
21,"SAN MIGUEL U1",NA,"SANMIGL_G1","ATASCOSA","COAL","SOUTH",1982,430,391,"48013",-98.5268931925163,28.893428651981,25009232.607,6582,8.83637284454432,430,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1982,1982,21,"21_coal",0.909302325581395,1,0,430,NA
22,"SANDY CREEK U1",NA,"SCES_UNIT1","MCLENNAN","COAL","NORTH",2013,1008,932.6,"48309",-97.2020583295321,31.5524952280805,NA,NA,NA,1008,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,2013,2013,22,"22_coal",0.925198412698413,1,0,1008,NA
23,"TWIN OAKS U1",NA,"TNP_ONE_TNP_O_1","ROBERTSON","COAL","NORTH",1990,174.6,155,"48395",-96.5133051218858,31.0265551733286,15824257.202,8610,10.5263048254979,174.6,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1990,1990,23,"23_coal",0.887743413516609,1,0,174.6,NA
24,"TWIN OAKS U2",NA,"TNP_ONE_TNP_O_2","ROBERTSON","COAL","NORTH",1991,174.6,155,"48395",-96.5133051218858,31.0265551733286,13020988.019,7933,9.40074442109598,174.6,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1991,1991,24,"24_coal",0.887743413516609,1,0,174.6,NA
25,"W A PARISH U5",NA,"WAP_WAP_G5","FORT BEND","COAL","HOUSTON",1977,734.1,664,"48157",-95.7708093741209,29.5275017684014,36263538.337,6968,7.08935641825608,734.1,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1977,1977,25,"25_coal",0.904508922490124,1,0,734.1,NA
26,"W A PARISH U6",NA,"WAP_WAP_G6","FORT BEND","COAL","HOUSTON",1978,734.1,663,"48157",-95.7708093741209,29.5275017684014,40009003.932,7324,7.44139194059892,734.1,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1978,1978,26,"26_coal",0.903146710257458,1,0,734.1,NA
27,"W A PARISH U7",NA,"WAP_WAP_G7","FORT BEND","COAL","HOUSTON",1980,614.6,577,"48157",-95.7708093741209,29.5275017684014,30050551.361,6724,7.27163688754098,614.6,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1980,1980,27,"27_coal",0.938821998047511,1,0,614.6,NA
28,"W A PARISH U8",NA,"WAP_WAP_G8","FORT BEND","COAL","HOUSTON",1982,653.99,610,"48157",-95.7708093741209,29.5275017684014,13360445.869,2862,7.1380603373354,653.99,"ERCO",NA,NA,"coal","coal",1.2,1.2,2100,1982,1982,28,"28_coal",0.932735974556186,1,0,653.99,NA
29,"ARTHUR VON ROSENBERG 1 CTG 1",NA,"BRAUNIG_AVR1_CT1","BEXAR","GAS-CC","SOUTH",2000,189,178.2,"48029",-98.5196984029584,29.4489501176394,NA,NA,NA,189,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2000,2000,29,"29_CCGT",0.942857142857143,1,0,189,NA
30,"ARTHUR VON ROSENBERG 1 CTG 2","25INR0531","BRAUNIG_AVR1_CT2","BEXAR","GAS-CC","SOUTH",2000,195,164,"48029",-98.5196984029584,29.4489501176394,NA,NA,NA,195,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2000,2000,30,"30_CCGT",0.841025641025641,1,0,195,NA
31,"ARTHUR VON ROSENBERG 1 STG",NA,"BRAUNIG_AVR1_ST","BEXAR","GAS-CC","SOUTH",2000,222,197.5,"48029",-98.5196984029584,29.4489501176394,NA,NA,NA,222,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2000,2000,31,"31_CCGT",0.88963963963964,1,0,222,NA
32,"ATKINS CTG 7",NA,"ATKINS_ATKINSG7","BRAZOS","GAS-GT","NORTH",1973,21,18,"48041",-96.3020116749928,30.660798686641,NA,NA,NA,21,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,1973,1973,32,"32_OCGT",0.857142857142857,1,0,21,NA
33,"BARNEY M DAVIS CTG 3",NA,"B_DAVIS_B_DAVIG3","NUECES","GAS-CC","COASTAL",2010,189.55,157,"48355",-97.6108117263099,27.7257020229377,NA,NA,NA,189.55,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2010,2010,33,"33_CCGT",0.828277499340543,1,0,189.55,NA
34,"BARNEY M DAVIS CTG 4",NA,"B_DAVIS_B_DAVIG4","NUECES","GAS-CC","COASTAL",2010,189.55,157,"48355",-97.6108117263099,27.7257020229377,NA,NA,NA,189.55,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2010,2010,34,"34_CCGT",0.828277499340543,1,0,189.55,NA
35,"BARNEY M DAVIS STG 1",NA,"B_DAVIS_B_DAVIG1","NUECES","GAS-ST","COASTAL",1974,352.8,292,"48355",-97.6108117263099,27.7257020229377,NA,NA,NA,352.8,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,1974,1974,35,"35_OCGT",0.827664399092971,1,0,352.8,NA
36,"BARNEY M DAVIS STG 2",NA,"B_DAVIS_B_DAVIG2","NUECES","GAS-CC","COASTAL",1976,351,319,"48355",-97.6108117263099,27.7257020229377,NA,NA,NA,351,"ERCO",NA,NA,"gas","CCGT",3,3,2100,1976,1976,36,"36_CCGT",0.908831908831909,1,0,351,NA
37,"BASTROP ENERGY CENTER CTG 1",NA,"BASTEN_GTG1100","BASTROP","GAS-CC","SOUTH",2002,188,171,"48021",-97.3119813075909,30.1036438225311,NA,NA,NA,188,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2002,2002,37,"37_CCGT",0.909574468085106,1,0,188,NA
38,"BASTROP ENERGY CENTER CTG 2",NA,"BASTEN_GTG2100","BASTROP","GAS-CC","SOUTH",2002,188,171,"48021",-97.3119813075909,30.1036438225311,NA,NA,NA,188,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2002,2002,38,"38_CCGT",0.909574468085106,1,0,188,NA
39,"BASTROP ENERGY CENTER STG",NA,"BASTEN_ST0100","BASTROP","GAS-CC","SOUTH",2002,242,233,"48021",-97.3119813075909,30.1036438225311,NA,NA,NA,242,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2002,2002,39,"39_CCGT",0.962809917355372,1,0,242,NA
40,"BEACHWOOD POWER STATION U1",NA,"BCH_UNIT1","BRAZORIA","GAS-GT","COASTAL",2022,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2022,2022,40,"40_OCGT",0.737190082644628,1,0,60.5,NA
41,"BEACHWOOD POWER STATION U2",NA,"BCH_UNIT2","BRAZORIA","GAS-GT","COASTAL",2022,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2022,2022,41,"41_OCGT",0.737190082644628,1,0,60.5,NA
42,"BEACHWOOD POWER STATION U3",NA,"BCH_UNIT3","BRAZORIA","GAS-GT","COASTAL",2022,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2022,2022,42,"42_OCGT",0.737190082644628,1,0,60.5,NA
43,"BEACHWOOD POWER STATION U4",NA,"BCH_UNIT4","BRAZORIA","GAS-GT","COASTAL",2022,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2022,2022,43,"43_OCGT",0.737190082644628,1,0,60.5,NA
44,"BEACHWOOD POWER STATION U5",NA,"BCH_UNIT5","BRAZORIA","GAS-GT","COASTAL",2022,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2022,2022,44,"44_OCGT",0.737190082644628,1,0,60.5,NA
45,"BEACHWOOD POWER STATION U6",NA,"BCH_UNIT6","BRAZORIA","GAS-GT","COASTAL",2022,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2022,2022,45,"45_OCGT",0.737190082644628,1,0,60.5,NA
46,"BOSQUE ENERGY CENTER CTG 1",NA,"BOSQUESW_BSQSU_1","BOSQUE","GAS-CC","NORTH",2000,188.7,143,"48035",-97.6342161989133,31.9004331312167,NA,NA,NA,188.7,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2000,2000,46,"46_CCGT",0.757816640169581,1,0,188.7,NA
47,"BOSQUE ENERGY CENTER CTG 2",NA,"BOSQUESW_BSQSU_2","BOSQUE","GAS-CC","NORTH",2000,188.7,143,"48035",-97.6342161989133,31.9004331312167,NA,NA,NA,188.7,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2000,2000,47,"47_CCGT",0.757816640169581,1,0,188.7,NA
48,"BOSQUE ENERGY CENTER CTG 3",NA,"BOSQUESW_BSQSU_3","BOSQUE","GAS-CC","NORTH",2001,188.7,145,"48035",-97.6342161989133,31.9004331312167,NA,NA,NA,188.7,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2001,2001,48,"48_CCGT",0.768415474297827,1,0,188.7,NA
49,"BOSQUE ENERGY CENTER STG 4",NA,"BOSQUESW_BSQSU_4","BOSQUE","GAS-CC","NORTH",2001,94.95,79.5,"48035",-97.6342161989133,31.9004331312167,NA,NA,NA,94.95,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2001,2001,49,"49_CCGT",0.837282780410742,1,0,94.95,NA
50,"BOSQUE ENERGY CENTER STG 5",NA,"BOSQUESW_BSQSU_5","BOSQUE","GAS-CC","NORTH",2009,254.15,213.5,"48035",-97.6342161989133,31.9004331312167,NA,NA,NA,254.15,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2009,2009,50,"50_CCGT",0.840055085579382,1,0,254.15,NA
51,"BRAZOS VALLEY CTG 1",NA,"BVE_UNIT1","FORT BEND","GAS-CC","HOUSTON",2003,198.9,149.7,"48157",-95.7708093741209,29.5275017684014,NA,NA,NA,198.9,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2003,2003,51,"51_CCGT",0.7526395173454,1,0,198.9,NA
52,"BRAZOS VALLEY CTG 2",NA,"BVE_UNIT2","FORT BEND","GAS-CC","HOUSTON",2003,198.9,149.7,"48157",-95.7708093741209,29.5275017684014,NA,NA,NA,198.9,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2003,2003,52,"52_CCGT",0.7526395173454,1,0,198.9,NA
53,"BRAZOS VALLEY STG 3",NA,"BVE_UNIT3","FORT BEND","GAS-CC","HOUSTON",2003,275.57,257.9,"48157",-95.7708093741209,29.5275017684014,NA,NA,NA,275.57,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2003,2003,53,"53_CCGT",0.935878361214936,1,0,275.57,NA
54,"BROTMAN POWER STATION U1",NA,"BTM_UNIT1","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,54,"54_OCGT",0.737190082644628,1,0,60.5,NA
55,"BROTMAN POWER STATION U2",NA,"BTM_UNIT2","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,55,"55_OCGT",0.737190082644628,1,0,60.5,NA
56,"BROTMAN POWER STATION U3",NA,"BTM_UNIT3","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,56,"56_OCGT",0.737190082644628,1,0,60.5,NA
57,"BROTMAN POWER STATION U4",NA,"BTM_UNIT4","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,57,"57_OCGT",0.737190082644628,1,0,60.5,NA
58,"BROTMAN POWER STATION U5",NA,"BTM_UNIT5","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,58,"58_OCGT",0.737190082644628,1,0,60.5,NA
59,"BROTMAN POWER STATION U6",NA,"BTM_UNIT6","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44.6,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,59,"59_OCGT",0.737190082644628,1,0,60.5,NA
60,"BROTMAN POWER STATION U7",NA,"BTM_UNIT7","BRAZORIA","GAS-GT","COASTAL",2023,60.5,41.3,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,60,"60_OCGT",0.682644628099173,1,0,60.5,NA
61,"BROTMAN POWER STATION U8",NA,"BTM_UNIT8","BRAZORIA","GAS-GT","COASTAL",2023,60.5,44,"48039",-95.4516980328554,29.1893632334676,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2023,2023,61,"61_OCGT",0.727272727272727,1,0,60.5,NA
62,"CALENERGY-FALCON SEABOARD CTG 1",NA,"FLCNS_UNIT1","HOWARD","GAS-GT","WEST",1987,75,75,"48227",-101.435644737651,32.3062623592556,NA,NA,NA,75,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,1987,1987,62,"62_OCGT",1,1,0,75,NA
63,"CALENERGY-FALCON SEABOARD CTG 2",NA,"FLCNS_UNIT2","HOWARD","GAS-GT","WEST",1987,75,75,"48227",-101.435644737651,32.3062623592556,NA,NA,NA,75,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,1987,1987,63,"63_OCGT",1,1,0,75,NA
64,"CALHOUN (PORT COMFORT) CTG 1",NA,"CALHOUN_UNIT1","CALHOUN","GAS-GT","COASTAL",2017,60.5,44,"48057",-96.6048130265719,28.5034137175913,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2017,2017,64,"64_OCGT",0.727272727272727,1,0,60.5,NA
65,"CALHOUN (PORT COMFORT) CTG 2",NA,"CALHOUN_UNIT2","CALHOUN","GAS-GT","COASTAL",2017,60.5,44,"48057",-96.6048130265719,28.5034137175913,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2017,2017,65,"65_OCGT",0.727272727272727,1,0,60.5,NA
66,"CASTLEMAN CHAMON CTG 1",NA,"CHAMON_CTG_0101","HARRIS","GAS-GT","HOUSTON",2017,60.5,44,"48201",-95.3927601696543,29.8574875994752,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2017,2017,66,"66_OCGT",0.727272727272727,1,0,60.5,NA
67,"CASTLEMAN CHAMON CTG 2",NA,"CHAMON_CTG_0301","HARRIS","GAS-GT","HOUSTON",2017,60.5,44,"48201",-95.3927601696543,29.8574875994752,NA,NA,NA,60.5,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,2017,2017,67,"67_OCGT",0.727272727272727,1,0,60.5,NA
68,"CEDAR BAYOU 4 CTG 1",NA,"CBY4_CT41","CHAMBERS","GAS-CC","HOUSTON",2009,205,163,"48071",-94.6086606136843,29.7385995438964,NA,NA,NA,205,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2009,2009,68,"68_CCGT",0.795121951219512,1,0,205,NA
69,"CEDAR BAYOU 4 CTG 2",NA,"CBY4_CT42","CHAMBERS","GAS-CC","HOUSTON",2009,205,163,"48071",-94.6086606136843,29.7385995438964,NA,NA,NA,205,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2009,2009,69,"69_CCGT",0.795121951219512,1,0,205,NA
70,"CEDAR BAYOU 4 STG",NA,"CBY4_ST04","CHAMBERS","GAS-CC","HOUSTON",2009,205,178,"48071",-94.6086606136843,29.7385995438964,NA,NA,NA,205,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2009,2009,70,"70_CCGT",0.868292682926829,1,0,205,NA
71,"CEDAR BAYOU STG 1",NA,"CBY_CBY_G1","CHAMBERS","GAS-ST","HOUSTON",1970,765,745,"48071",-94.6086606136843,29.7385995438964,17944795.345,4665,5.02834915691178,765,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,1970,1970,71,"71_OCGT",0.973856209150327,1,0,765,NA
72,"CEDAR BAYOU STG 2",NA,"CBY_CBY_G2","CHAMBERS","GAS-ST","HOUSTON",1972,765,749,"48071",-94.6086606136843,29.7385995438964,12356778.123,3092,5.22401395251503,765,"ERCO",NA,NA,"gas","OCGT",4.8,4.8,2100,1972,1972,72,"72_OCGT",0.979084967320261,1,0,765,NA
73,"COLORADO BEND ENERGY CENTER CTG 1",NA,"CBEC_GT1","WHARTON","GAS-CC","SOUTH",2007,86.5,81.5,"48481",-96.2223761536562,29.277916382541,4218975.499,5129,9.50951125471506,86.5,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2007,2007,73,"73_CCGT",0.942196531791908,1,0,86.5,NA
74,"COLORADO BEND ENERGY CENTER CTG 2",NA,"CBEC_GT2","WHARTON","GAS-CC","SOUTH",2007,86.5,74.8,"48481",-96.2223761536562,29.277916382541,3069459.036,3803,9.33081134911744,86.5,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2007,2007,74,"74_CCGT",0.864739884393064,1,0,86.5,NA
75,"COLORADO BEND ENERGY CENTER CTG 3",NA,"CBEC_GT3","WHARTON","GAS-CC","SOUTH",2008,86.5,82.1,"48481",-96.2223761536562,29.277916382541,NA,NA,NA,86.5,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2008,2008,75,"75_CCGT",0.949132947976879,1,0,86.5,NA
76,"COLORADO BEND ENERGY CENTER CTG 4",NA,"CBEC_GT4","WHARTON","GAS-CC","SOUTH",2008,86.5,75.9,"48481",-96.2223761536562,29.277916382541,1033.43,2,5.9735838150289,86.5,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2008,2008,76,"76_CCGT",0.877456647398844,1,0,86.5,NA
77,"COLORADO BEND ENERGY CENTER STG 1",NA,"CBEC_STG1","WHARTON","GAS-CC","SOUTH",2007,105,103.2,"48481",-96.2223761536562,29.277916382541,4218975.499,5129,7.83402593840812,105,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2007,2007,77,"77_CCGT",0.982857142857143,1,0,105,NA
78,"COLORADO BEND ENERGY CENTER STG 2",NA,"CBEC_STG2","WHARTON","GAS-CC","SOUTH",2008,108.8,107.6,"48481",-96.2223761536562,29.277916382541,3069459.036,3803,7.41833806708326,108.8,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2008,2008,78,"78_CCGT",0.988970588235294,1,0,108.8,NA
79,"COLORADO BEND II CTG 7",NA,"CBECII_CT7","WHARTON","GAS-CC","SOUTH",2017,360.9,329.3,"48481",-96.2223761536562,29.277916382541,22382696.95,7220,8.58990449008289,360.9,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2017,2017,79,"79_CCGT",0.912441119423663,1,0,360.9,NA
80,"COLORADO BEND II CTG 8",NA,"CBECII_CT8","WHARTON","GAS-CC","SOUTH",2017,360.9,335,"48481",-96.2223761536562,29.277916382541,20200483.749,6488,8.62708439418306,360.9,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2017,2017,80,"80_CCGT",0.928234968135218,1,0,360.9,NA
81,"COLORADO BEND II STG 9",NA,"CBECII_STG9","WHARTON","GAS-CC","SOUTH",2017,508.5,478.4,"48481",-96.2223761536562,29.277916382541,NA,NA,NA,508.5,"ERCO",NA,NA,"gas","CCGT",3,3,2100,2017,2017,81,"81_CCGT",0.940806293018682,1,0,508.5,NA
