CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_STATUS,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
AL,Barry,3,7A,A2ST,191.8,OPR,7A,A2ST,AL,Barry,3,A2ST,0,3,7A,A2ST,A2ST,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Barry,3,7B,A2C2,170.1,OPR,7B,A2C2,AL,Barry,3,A2C2,0,3,,,A2C2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Barry,3,7B,A2ST,191.8,OPR,7B,A2ST,AL,Barry,3,A2ST,0,3,7B,A2ST,A2ST,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gadsden,7,1,1,69,OPR,1,1,AL,Gadsden,7,1,0,7,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gadsden,7,2,2,69,OPR,2,2,AL,Gadsden,7,2,0,7,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gorgas,8,10,10,788.8,RET,10,10,AL,Gorgas,8,10,0,8,10,10,10,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gorgas,8,6,6,125,RET,6,6,AL,Gorgas,8,6,0,8,6,6,6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gorgas,8,7,7,125,RET,7,7,AL,Gorgas,8,7,0,8,7,7,7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gorgas,8,8,8,187.5,RET,8,8,AL,Gorgas,8,8,0,8,8,8,8,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Gorgas,8,9,9,190.4,RET,9,9,AL,Gorgas,8,9,0,8,9,9,9,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
